"Gene","Non-unique Gene name","Annotation","Number_pos_present_in","Number_neg_present_in","Number_pos_not_present_in","Number_neg_not_present_in","Sensitivity","Specificity","Odds_ratio","Naive_p","Bonferroni_p","Benjamini_H_p","Max_Pairwise_comparisons","Max_supporting_pairs","Max_opposing_pairs","Best_pairwise_comp_p","Worst_pairwise_comp_p"
"group_8570","","hypothetical protein","5","5","174","24","2.793296089385475","82.75862068965517","0.13793103448275862","0.005758207415712771","1.0","1.0","2","2","1","0.5","1.0"
"group_9219","","hypothetical protein","5","5","174","24","2.793296089385475","82.75862068965517","0.13793103448275862","0.005758207415712771","1.0","1.0","2","2","1","0.5","1.0"
"cas3","","CRISPR-associated nuclease/helicase Cas3 subtype I-F/YPEST","33","0","146","29","18.435754189944134","100.0","inf","0.005913265506815482","1.0","1.0","16","16","0","3.0517578125e-05","3.0517578125e-05"
"ndvB","","Cyclic beta-(1,2)-glucan synthase NdvB","33","0","146","29","18.435754189944134","100.0","inf","0.005913265506815482","1.0","1.0","14","14","0","0.0001220703125","0.0001220703125"
"group_5931","","hypothetical protein","8","6","171","23","4.4692737430167595","79.3103448275862","0.1793372319688109","0.005964130303401534","1.0","1.0","8","5","3","0.7265625000000002","0.7265625000000002"
"group_6358","","hypothetical protein","8","6","171","23","4.4692737430167595","79.3103448275862","0.1793372319688109","0.005964130303401534","1.0","1.0","3","3","1","0.25","1.0"
"group_6359","","hypothetical protein","8","6","171","23","4.4692737430167595","79.3103448275862","0.1793372319688109","0.005964130303401534","1.0","1.0","2","2","1","0.5","1.0"
"group_6363","","hypothetical protein","8","6","171","23","4.4692737430167595","79.3103448275862","0.1793372319688109","0.005964130303401534","1.0","1.0","3","3","1","0.25","1.0"
"group_6364","","hypothetical protein","8","6","171","23","4.4692737430167595","79.3103448275862","0.1793372319688109","0.005964130303401534","1.0","1.0","3","3","1","0.25","1.0"
"group_6898","","hypothetical protein","8","6","171","23","4.4692737430167595","79.3103448275862","0.1793372319688109","0.005964130303401534","1.0","1.0","3","2","1","1.0","1.0"
"group_2426","","hypothetical protein","45","1","134","28","25.139664804469277","96.55172413793103","9.402985074626866","0.006951015958911245","1.0","1.0","9","9","1","0.00390625","0.0390625"
"group_5297","tam_1","hypothetical protein","12","7","167","22","6.70391061452514","75.86206896551724","0.22583404619332764","0.007647604899885032","1.0","1.0","7","6","2","0.125","0.4531249999999996"
"group_3069","","hypothetical protein","36","13","143","16","20.11173184357542","55.172413793103445","0.30984400215169444","0.007885068649890043","1.0","1.0","8","3","5","0.7265625000000002","0.7265625000000002"
"group_8626","","hypothetical protein","3","4","176","25","1.675977653631285","86.20689655172413","0.10653409090909091","0.008052917370703554","1.0","1.0","5","1","4","0.375","0.375"
"group_8769","","hypothetical protein","3","4","176","25","1.675977653631285","86.20689655172413","0.10653409090909091","0.008052917370703554","1.0","1.0","2","2","1","0.5","1.0"
"group_8771","","hypothetical protein","3","4","176","25","1.675977653631285","86.20689655172413","0.10653409090909091","0.008052917370703554","1.0","1.0","5","3","3","1.0","1.0"
"group_9263","","hypothetical protein","3","4","176","25","1.675977653631285","86.20689655172413","0.10653409090909091","0.008052917370703554","1.0","1.0","1","1","1","1.0","1.0"
"group_9264","","hypothetical protein","3","4","176","25","1.675977653631285","86.20689655172413","0.10653409090909091","0.008052917370703554","1.0","1.0","4","3","2","0.625","1.0"
"mtnC","","Enolase-phosphatase E1","85","6","94","23","47.486033519553075","79.3103448275862","3.4663120567375887","0.008170846992872799","1.0","1.0","14","9","6","0.4239501953124999","0.7905273437500004"
"yqjF","","hypothetical protein","159","20","20","9","88.8268156424581","31.03448275862069","3.5775","0.008364325330226964","1.0","1.0","15","8","9","0.6072387695312501","0.9999999999999997"
